m,n,minGiftSolverLC,openGiftSolverLC,meanGiftSolverLC,closedGiftSolverLC,maxGiftSolverLC,minDistributedGiftSolverLC,openDistributedGiftSolverLC,meanDistributedGiftSolverLC,closedDistributedGiftSolverLC,maxDistributedGiftSolverLC,minSwapSolverLC,openSwapSolverLC,meanSwapSolverLC,closedSwapSolverLC,maxSwapSolverLC,minLpSolverLC,openLpSolverLC,meanLpSolverLC,closedLpSolverLC,maxLpSolverLC,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,dealGift,nbPropose,nbAccept,nbReject,nbWithdraw,nbConfirm,nbInform
2,10,2771.0,3016.0,3344.0,3920.0,5323.0,2771.0,3016.0,3344.0,3920.0,5323.0,2771.0,3016.0,3344.0,3920.0,5323.0,3706.0,4806.0,5312.0,5791.0,7469.0,140629.0,497691.0,905219.0,1279214.0,6405136.0,1463285.0,8.4696453E7,1.23188519E8,2.11329672E8,6.29453911E8,725406.0,1176048.0,1944810.0,3014461.0,1.3612816E7,7350926.0,9419126.0,2.2972723E7,2.6745655E7,3.253925E7,209191.0,594684.0,852944.0,945206.0,1659359.0,198105.0,317522.0,560709.0,317522.0,3975388.0,5.1,3.55,18.95, 13.35, 5.05, 8.35, 4.9, 0.0
4,20,2551.0,3070.0,3810.0,4190.0,5550.0,2551.0,3070.0,3810.0,4190.0,5550.0,2551.0,3070.0,3810.0,4190.0,5550.0,6515.0,8568.0,9406.0,10839.0,11450.0,549807.0,703655.0,1810977.0,3125693.0,7886176.0,2.425923E7,1.22508896E8,2.36632483E8,2.95344413E8,5.25126956E8,2587308.0,3827142.0,6811692.0,1.1626603E7,1.7968143E7,7747144.0,9350221.0,1.6050422E7,3.0923931E7,3.5046811E7,202153.0,411877.0,712762.0,918019.0,1437960.0,138080.0,200931.0,346588.0,200931.0,799250.0,15.5,13.8,48.65, 33.85, 14.25, 18.75, 14.9, 0.0
6,30,3396.0,4123.0,4326.0,4865.0,5342.0,3396.0,4123.0,4326.0,4865.0,5342.0,3396.0,4123.0,4326.0,4865.0,5342.0,12096.0,13826.0,14408.0,16192.0,16728.0,2234928.0,2734826.0,2984368.0,3769435.0,2.3834486E7,8.8704634E7,2.36158037E8,2.65208226E8,3.30392644E8,8.07508336E8,1.2084707E7,1.5877111E7,1.7265552E7,1.9513512E7,3.8117322E7,7539181.0,1.0122573E7,1.1534433E7,2.1938258E7,3.1043295E7,256594.0,319068.0,713514.0,897435.0,1234674.0,161485.0,174020.0,189710.0,174020.0,860700.0,26.05,24.15,87.8, 56.8, 29.05, 30.75, 25.4, 0.0
8,40,3456.0,3935.0,4446.0,4763.0,5927.0,3456.0,3935.0,4446.0,4763.0,5927.0,3456.0,3935.0,4446.0,4763.0,5927.0,16406.0,18107.0,19974.0,20976.0,24102.0,4685168.0,5445583.0,6899556.0,1.582698E7,2.5083343E7,8.3687436E7,1.46777643E8,2.11254279E8,3.3243541E8,4.21061558E8,3.0930516E7,3.435991E7,3.7019668E7,4.3597587E7,5.0531702E7,8820510.0,1.1530095E7,1.4554148E7,3.1718659E7,3.3632658E7,266557.0,619170.0,781493.0,928241.0,1250305.0,182127.0,208025.0,239514.0,208025.0,687253.0,34.95,35.55,94.8, 66.9, 26.45, 31.2, 35.15, 0.0
10,50,3211.0,4168.0,4797.0,5158.0,5681.0,3211.0,4168.0,4797.0,5158.0,5681.0,3211.0,4168.0,4797.0,5158.0,5681.0,22104.0,23689.0,24614.0,25991.0,28124.0,7331188.0,8431632.0,9316791.0,1.6916664E7,2.5727204E7,1.77258281E8,2.33528311E8,2.99792968E8,3.93871423E8,6.27837802E8,4.6203616E7,5.0542037E7,5.456557E7,6.225934E7,6.7836405E7,8868280.0,9464559.0,1.32901E7,3.3980326E7,3.8006355E7,251617.0,326415.0,771013.0,1044780.0,1353115.0,170975.0,210059.0,248778.0,210059.0,684567.0,45.25,47.6,140.1, 95.5, 42.55, 49.65, 45.5, 0.0
12,60,3499.0,3670.0,4635.0,4779.0,5214.0,3499.0,3670.0,4635.0,4779.0,5214.0,3499.0,3670.0,4635.0,4779.0,5214.0,23294.0,28948.0,30220.0,31993.0,35389.0,1.0543064E7,1.3765771E7,1.4637243E7,2.8002491E7,3.318372E7,6.0110836E7,1.48826891E8,2.38552678E8,3.04058298E8,5.0785662E8,6.938462E7,7.71948E7,8.2838013E7,8.7826657E7,9.3746465E7,9946244.0,1.0373234E7,1.3710745E7,3.6167947E7,3.8738762E7,331304.0,443907.0,646014.0,1083855.0,1410111.0,200817.0,211556.0,244183.0,211556.0,545909.0,55.8,59.45,137.95, 101.05, 36.05, 46.5, 54.3, 0.0
14,70,3822.0,4443.0,4707.0,5038.0,5365.0,3822.0,4443.0,4707.0,5038.0,5365.0,3822.0,4443.0,4707.0,5038.0,5365.0,28865.0,33214.0,35265.0,36741.0,41835.0,1.6061488E7,1.9309111E7,2.9122113E7,3.4915217E7,4.1692739E7,8.9544648E7,1.81262946E8,2.70982703E8,3.62839452E8,4.62794255E8,1.03166426E8,1.22718767E8,1.26165395E8,1.34798945E8,1.91334437E8,1.1199975E7,1.6384086E7,3.699561E7,3.9762874E7,4.6658933E7,414596.0,1164855.0,1299835.0,1424138.0,2111485.0,190082.0,257212.0,388674.0,257212.0,551917.0,64.3,74.15,172.9, 124.85, 46.95, 59.3, 65.05, 0.0
16,80,3765.0,4592.0,4822.0,5119.0,5322.0,3765.0,4592.0,4822.0,5119.0,5322.0,3765.0,4592.0,4822.0,5119.0,5322.0,34823.0,38905.0,39814.0,41518.0,45064.0,2.446531E7,2.7741116E7,2.8678838E7,4.3131661E7,4.58329E7,1.25669255E8,1.85268614E8,2.42926997E8,4.21480418E8,6.43334034E8,1.55207046E8,1.68188487E8,1.74747952E8,1.8643085E8,2.01882325E8,1.2326413E7,1.5637325E7,1.9429994E7,3.6862697E7,4.5763112E7,519445.0,737282.0,1513852.0,1687287.0,2349383.0,210732.0,240094.0,309759.0,240094.0,560207.0,75.2,87.05,195.65, 137.35, 56.4, 62.1, 74.7, 0.0
18,90,3350.0,4323.0,4560.0,4783.0,5240.0,3350.0,4323.0,4560.0,4783.0,5240.0,3350.0,4323.0,4560.0,4783.0,5240.0,38619.0,42317.0,44270.0,45360.0,50065.0,3.4550279E7,3.6843543E7,3.8893194E7,4.9962159E7,5.8436166E7,9.673629E7,2.42718947E8,3.64927451E8,4.51671211E8,6.01762418E8,2.29142464E8,2.40372406E8,2.50650831E8,2.5842557E8,2.8447405E8,1.3578899E7,1.4121794E7,1.9349857E7,2.9179796E7,3.4107588E7,540869.0,718817.0,1209739.0,1378527.0,1811248.0,222067.0,238895.0,270898.0,238895.0,513349.0,85.4,100.85,241.4, 167.05, 72.55, 81.4, 85.05, 0.0
20,100,3929.0,4424.0,4649.0,4985.0,5257.0,3929.0,4424.0,4649.0,4985.0,5257.0,3929.0,4424.0,4649.0,4985.0,5257.0,42387.0,47510.0,49188.0,51629.0,52794.0,4.4801638E7,4.8858818E7,5.1758728E7,5.6004828E7,6.4528748E7,1.48102476E8,2.14713364E8,3.28111645E8,4.25409262E8,5.60973248E8,3.17899586E8,3.25557828E8,3.41593209E8,3.55130075E8,3.76861282E8,1.5059899E7,1.6168833E7,1.9131347E7,2.4303271E7,2.7952556E7,637830.0,747401.0,1016990.0,1220893.0,1546940.0,246328.0,271373.0,295219.0,271373.0,445450.0,94.8,115.0,256.35, 180.5, 73.9, 84.5, 95.2, 0.0
22,110,4116.0,4696.0,4801.0,5109.0,6134.0,4116.0,4696.0,4801.0,5109.0,6134.0,4116.0,4696.0,4801.0,5109.0,6134.0,47119.0,52644.0,54599.0,56840.0,59177.0,5.8301171E7,6.3610143E7,6.5065364E7,6.8241899E7,7.3883587E7,1.17979294E8,2.18844569E8,3.1147759E8,4.52831215E8,5.16583072E8,4.2104439E8,4.36193104E8,4.50022803E8,4.7889385E8,5.15728061E8,1.6869663E7,1.8102316E7,2.0188633E7,2.3645303E7,2.5306296E7,754025.0,950070.0,1101022.0,1235391.0,1719045.0,272562.0,290740.0,339611.0,290740.0,452804.0,104.35,128.75,252.7, 185.15, 65.0, 79.75, 104.65, 0.0
24,120,4243.0,4416.0,4968.0,5206.0,5262.0,4243.0,4416.0,4968.0,5206.0,5262.0,4243.0,4416.0,4968.0,5206.0,5262.0,51787.0,58358.0,59870.0,61517.0,62396.0,7.8617139E7,8.2431585E7,8.4241937E7,8.5965048E7,1.00807197E8,1.19629209E8,2.3473672E8,3.08207423E8,3.56947443E8,6.1388838E8,5.08769294E8,5.83894701E8,5.92524681E8,6.08530763E8,6.71035705E8,1.8747387E7,2.053675E7,2.1683045E7,2.2283278E7,3.1573197E7,862139.0,1137927.0,1207302.0,1254315.0,1462690.0,302363.0,323715.0,341235.0,323715.0,528488.0,115.05,145.8,275.8, 203.3, 70.9, 88.05, 114.65, 0.0
26,130,3792.0,4316.0,4579.0,5083.0,5481.0,3792.0,4316.0,4579.0,5083.0,5481.0,3792.0,4316.0,4579.0,5083.0,5481.0,57118.0,61892.0,63370.0,66377.0,70363.0,9.734308E7,1.01296025E8,1.03512364E8,1.0860387E8,1.17873328E8,1.25808867E8,2.46512248E8,3.40991877E8,3.95379078E8,4.91799654E8,6.74518245E8,7.34530401E8,7.70062072E8,7.80782515E8,8.20931926E8,2.0837845E7,2.1966927E7,2.2423764E7,2.2684174E7,2.5255625E7,1061143.0,1202147.0,1269640.0,1372751.0,1577962.0,328991.0,357759.0,375613.0,357759.0,491237.0,124.3,159.8,293.05, 216.55, 75.6, 91.4, 124.6, 0.0
28,140,4090.0,4639.0,4921.0,5258.0,5902.0,4090.0,4639.0,4921.0,5258.0,5902.0,4090.0,4639.0,4921.0,5258.0,5902.0,62286.0,68443.0,70690.0,73497.0,76612.0,1.18757482E8,1.26606687E8,1.28566677E8,1.30320948E8,1.55437968E8,9.4372827E7,2.21958698E8,2.8791123E8,3.84330519E8,6.18588767E8,8.61294004E8,9.06363248E8,9.44792307E8,9.67269814E8,1.013596206E9,2.2830183E7,2.3281174E7,2.3598796E7,2.3710294E7,2.5269879E7,1141777.0,1219848.0,1254861.0,1326636.0,1627796.0,367903.0,377946.0,392766.0,377946.0,623371.0,133.8,173.25,295.6, 226.3, 68.1, 90.75, 134.9, 0.0
30,150,4082.0,4440.0,4707.0,4976.0,5649.0,4082.0,4440.0,4707.0,4976.0,5649.0,4082.0,4440.0,4707.0,4976.0,5649.0,70111.0,72865.0,74399.0,76116.0,80674.0,1.42035158E8,1.50547918E8,1.54764813E8,1.6482496E8,1.7053738E8,1.49801953E8,2.68479207E8,3.37752476E8,4.31031476E8,5.23900661E8,1.080855364E9,1.129765788E9,1.151367486E9,1.189394617E9,1.253203358E9,2.5195895E7,2.5552888E7,2.5683524E7,2.5835548E7,2.630729E7,1060702.0,1333463.0,1398549.0,1452657.0,1870680.0,406777.0,420132.0,428239.0,420132.0,469467.0,144.7,189.1,326.15, 242.95, 82.95, 97.15, 145.25, 0.0
32,160,3733.0,4501.0,4740.0,5165.0,5381.0,3733.0,4501.0,4740.0,5165.0,5381.0,3733.0,4501.0,4740.0,5165.0,5381.0,72357.0,77262.0,79882.0,81346.0,84415.0,1.77077193E8,1.82530338E8,1.89565236E8,1.92924903E8,1.99266243E8,1.84598162E8,3.09209111E8,3.5566602E8,4.59030493E8,5.12976722E8,1.268545143E9,1.364513806E9,1.410762946E9,1.42652037E9,1.479009377E9,2.798434E7,2.8413386E7,2.8580366E7,2.9276983E7,3.6177153E7,1489597.0,1600452.0,1712280.0,1767920.0,2225499.0,447894.0,455774.0,471130.0,455774.0,506647.0,154.6,203.85,357.25, 265.7, 90.0, 110.15, 154.95, 0.0
34,170,4142.0,4557.0,4851.0,5168.0,5486.0,4142.0,4557.0,4851.0,5168.0,5486.0,4142.0,4557.0,4851.0,5168.0,5486.0,80040.0,82462.0,85858.0,88221.0,92566.0,2.12821408E8,2.17217725E8,2.25558884E8,2.32618444E8,2.49217832E8,1.61646872E8,3.1767228E8,4.15344542E8,5.19719267E8,5.85711846E8,1.577051613E9,1.62658334E9,1.654639531E9,1.720248754E9,1.816892494E9,3.0629868E7,3.1029673E7,3.1167416E7,3.1311102E7,3.910779E7,1597366.0,1693675.0,1751266.0,1851722.0,2157282.0,501670.0,521859.0,525504.0,521859.0,569399.0,165.4,219.65,387.25, 284.35, 101.65, 118.75, 165.0, 0.0
36,180,4113.0,4623.0,4709.0,5037.0,5376.0,4113.0,4623.0,4709.0,5037.0,5376.0,4113.0,4623.0,4709.0,5037.0,5376.0,81710.0,87385.0,90009.0,92565.0,95912.0,2.45645075E8,2.70802879E8,2.75494727E8,2.76950078E8,2.88949076E8,1.84726824E8,2.49693782E8,3.37375217E8,3.85957959E8,5.82235071E8,1.945515092E9,2.007897771E9,2.039244442E9,2.118413549E9,2.217327567E9,3.3561564E7,3.3807504E7,3.3924541E7,3.4782635E7,4.4652679E7,1792782.0,1930943.0,1993885.0,2077754.0,3013735.0,549047.0,562839.0,574486.0,562839.0,657275.0,174.85,237.2,390.65, 294.65, 94.4, 118.7, 175.3, 0.0
38,190,4328.0,4828.0,4881.0,5257.0,5783.0,4328.0,4828.0,4881.0,5257.0,5783.0,4328.0,4828.0,4881.0,5257.0,5783.0,87035.0,91668.0,93354.0,95749.0,101926.0,3.02954269E8,3.16417773E8,3.22905554E8,3.30631518E8,3.83287932E8,1.68427835E8,3.01424986E8,3.51214762E8,4.05850299E8,7.29086801E8,2.307945995E9,2.37923701E9,2.42419859E9,2.495892978E9,2.533939298E9,3.6113839E7,3.6418451E7,3.6598428E7,3.6811031E7,4.1109533E7,1868173.0,2094993.0,2128037.0,2198399.0,3037998.0,583539.0,609290.0,617108.0,609290.0,778414.0,184.95,254.7,431.8, 314.4, 113.75, 128.7, 185.1, 0.0
40,200,4192.0,4474.0,4714.0,4886.0,5532.0,4192.0,4474.0,4714.0,4886.0,5532.0,4192.0,4474.0,4714.0,4886.0,5532.0,92727.0,96894.0,99034.0,100061.0,102257.0,3.28088359E8,3.62724086E8,3.7139464E8,3.82419221E8,3.95888341E8,1.88057011E8,3.1617618E8,4.26431215E8,4.84072733E8,7.21926569E8,2.652350743E9,2.723451425E9,2.813050839E9,2.867588443E9,2.927841136E9,3.9768795E7,4.0033496E7,4.0145863E7,4.0270787E7,4.0519327E7,2236803.0,2302275.0,2342161.0,2370747.0,2508993.0,633720.0,668417.0,674196.0,668417.0,784154.0,195.35,265.9,481.45, 342.75, 136.2, 147.45, 194.8, 0.0
42,210,4097.0,4545.0,4734.0,4958.0,5437.0,4097.0,4545.0,4734.0,4958.0,5437.0,4097.0,4545.0,4734.0,4958.0,5437.0,98957.0,101113.0,106334.0,107153.0,109310.0,3.97653844E8,4.17064106E8,4.27369501E8,4.3809651E8,4.63305419E8,2.2205214E8,2.77418562E8,3.79637363E8,4.79131546E8,5.65447688E8,3.097672143E9,3.169857692E9,3.207242581E9,3.312212114E9,3.615670532E9,4.2920508E7,4.3430318E7,4.3680307E7,4.3867953E7,4.4198802E7,2455588.0,2544452.0,2588363.0,2655588.0,2722225.0,698000.0,716013.0,728448.0,716013.0,784017.0,205.3,284.7,466.75, 349.65, 114.25, 144.4, 204.6, 0.0
44,220,4570.0,4809.0,4922.0,5076.0,5306.0,4570.0,4809.0,4922.0,5076.0,5306.0,4570.0,4809.0,4922.0,5076.0,5306.0,104657.0,105950.0,107922.0,112926.0,118742.0,4.62971669E8,4.8992974E8,4.97532985E8,5.17838927E8,5.33859913E8,1.76836334E8,2.42952623E8,3.82959594E8,5.08783523E8,6.18934002E8,3.573104504E9,3.65928449E9,3.829187163E9,3.882205905E9,4.084262742E9,4.6329E7,4.682513E7,4.7064865E7,4.7244383E7,4.815378E7,2681221.0,2773457.0,2826656.0,2931522.0,3012290.0,768936.0,794160.0,802924.0,794160.0,860008.0,215.5,297.0,491.45, 364.15, 126.5, 148.2, 215.35, 0.0
46,230,4152.0,4406.0,4749.0,5059.0,5116.0,4152.0,4406.0,4749.0,5059.0,5116.0,4152.0,4406.0,4749.0,5059.0,5116.0,105720.0,111098.0,114010.0,115851.0,118727.0,5.37541866E8,5.41240744E8,5.64883369E8,5.75539173E8,5.83894216E8,1.70651991E8,2.5621836E8,3.14804655E8,4.29669108E8,6.90912564E8,4.042970477E9,4.226611987E9,4.35586871E9,4.42973304E9,4.511230761E9,5.0005965E7,5.0637652E7,5.077109E7,5.0984977E7,5.1274147E7,2966911.0,3049660.0,3121609.0,3179995.0,3338278.0,839657.0,861244.0,882968.0,861244.0,904883.0,224.8,314.15,471.45, 364.05, 106.5, 138.45, 224.95, 0.0
